date,time,lat,lon,description,access_features,special_requirements
2025-04-08,13:33:32,43.952735138519294,-79.45739745950414,Test event at local park cleanup
2025-04-09,09:00:00,43.6532,-79.3832,Cleanup event at Downtown Park – removing litter and debris
2025-04-10,10:30:45,43.7000,-79.4000,Riverbank cleanup near the suspension bridge
2025-04-11,15:45:00,43.6600,-79.4200,Neighborhood cleanup event at community garden
2025-04-12,08:15:00,43.6800,-79.3600,Large-scale waste removal near the construction site
2025-04-08,13:42:11,43.95274005353225,-79.45739233775537,test again - april 8th 13:42
2025-04-08,13:45:20,43.95273399365809,-79.45742034812069,aldkfja;slfjlas;dkfjklas;dfjasl;dkfj
2025-04-08,14:09:04,43.95272735685277,-79.4574865415425,hello world
2025-04-08,15:28:47,43.952735138519294,-79.45739745950414,Desription of the event
2025-04-08,16:42:25.019132,43.95274005353225,-79.45739233775537,sdf,wheelchair,
2025-04-08,16:43:59.682080,43.95274005353225,-79.45739233775537,testttt,"wheelchair,interpreter,child_friendly,senior_transport",I need support dog
